URL,Status,Type,Category,Element,Response Time (ms),Error,Anchor Text,Schema,Target,Rel,Checked
"https://apnokabima.com/",408,html,link,a,10016,"Request timeout","",https,,,Yes
"https://apnokabima.com/product/1-crore-term-insurance#",200,html,link,a,4109,"","Products",https,,,Yes
"https://apnokabima.com/product/two-wheeler-insurance",200,html,link,a,6201,"","Two Wheeler Insurance",https,,,Yes
"https://apnokabima.com/product/car-insurance",200,html,link,a,4842,"","Car Insurance",https,,,Yes
"https://apnokabima.com/product/goods-carrying-vehicle",200,html,link,a,5665,"","Goods Carrying Vehicle",https,,,Yes
"https://apnokabima.com/product/passenger-carrying-vehicle",200,html,link,a,4295,"","Passenger Carrying Vehicle",https,,,Yes
"https://apnokabima.com/product/misc-d",200,html,link,a,4123,"","Misc-D",https,,,Yes
"https://apnokabima.com/product/term-insurance",200,html,link,a,3302,"","Term Insurance",https,,,Yes
"https://apnokabima.com/product/group-term-insurance",200,html,link,a,3286,"","Group Term Insurance",https,,,Yes
"https://apnokabima.com/product/1-crore-term-insurance",200,html,link,a,5059,"","1 Crore Term Insurance",https,,,Yes
"https://apnokabima.com/product/individual-health-insurance",408,html,link,a,10004,"Request timeout","Individual Health Insurance",https,,,Yes
"https://apnokabima.com/product/family-health-insurance",408,html,link,a,10013,"Request timeout","Family Health Insurance",https,,,Yes
"https://apnokabima.com/product/personal-accident-insurance",200,html,link,a,3770,"","Personal Accident Insurance",https,,,Yes
"https://apnokabima.com/product/group-health-insurance",200,html,link,a,2608,"","Group Health Insurance",https,,,Yes
"https://apnokabima.com/product/group-personal-accident-insurance",200,html,link,a,2535,"","Group Personal Accident Insurance",https,,,Yes
"https://apnokabima.com/product/senior-citizen-health-insurance",200,html,link,a,3732,"","Senior Citizen Health Insurance",https,,,Yes
"https://apnokabima.com/product/cancer-insurance",200,html,link,a,4611,"","Cancer Insurance",https,,,Yes
"https://apnokabima.com/product/critical-illness-insurance",200,html,link,a,3571,"","Critical illness Insurance",https,,,Yes
"https://apnokabima.com/product/individual-travel-insurance",200,html,link,a,4864,"","Individual Travel Insurance",https,,,Yes
"https://apnokabima.com/product/family-travel-insurance",200,html,link,a,4303,"","Family Travel Insurance",https,,,Yes
